1	2	3
1	12	0
1	19	1
1	24	0
1	29	3
1	33	4
1	39	3
1	43	1
3	5	1
3	20	1
3	25	4
3	29	0
3	41	1
4	9	1
4	26	4
4	30	2
4	37	4
4	39	4
4	47	1
5	4	2
5	5	2
5	17	0
5	38	4
5	43	4
5	49	4
6	27	2
6	28	0
6	31	2
6	45	2
6	47	0
7	3	1
7	11	4
7	21	0
7	22	2
7	23	2
7	45	0
8	9	3
8	24	3
9	1	1
9	7	2
9	8	2
9	19	0
9	23	3
9	32	2
9	39	2
9	46	3
10	4	0
10	5	1
10	14	3
10	23	1
10	24	1
10	40	2
10	42	2
11	3	4
11	4	2
11	5	1
11	35	4
11	41	0
12	15	3
12	18	0
12	44	2
13	6	4
13	7	0
13	46	0
13	49	3
13	50	0
14	10	1
14	13	3
14	33	0
14	37	1
14	41	1
14	44	3
15	15	0
15	21	3
15	35	4
16	7	0
16	21	2
16	24	1
16	39	2
16	42	2
17	1	0
17	6	3
17	11	0
17	15	2
17	18	1
17	22	0
17	37	3
17	44	0
18	8	3
18	22	1
18	26	2
18	31	2
18	33	0
18	36	2
19	4	0
19	19	3
19	24	4
19	26	1
20	21	3
20	35	0
20	40	2
20	46	1
21	3	0
21	17	2
21	19	0
21	27	3
21	32	0
21	38	0
22	3	3
22	10	2
22	12	1
22	15	4
22	17	4
22	27	2
22	40	0
22	49	0
23	9	2
23	22	0
23	23	4
23	39	3
23	50	3
24	11	4
24	14	1
24	38	4
24	42	0
24	49	4
25	20	3
25	40	4
26	33	2
26	40	4
26	44	3
27	16	3
27	39	3
27	45	1
27	49	0
28	3	4
28	4	0
28	34	2
28	37	0
28	41	1
29	5	4
29	27	3
29	31	0
29	49	3
30	5	4
30	12	0
30	13	2
30	28	1
30	32	2
30	37	1
30	43	0
31	16	0
31	36	2
31	37	2
31	38	2
31	44	0
31	47	2
32	10	3
32	48	4
33	26	2
33	35	3
33	44	0
33	46	4
34	6	1
34	7	4
34	8	4
34	9	3
34	11	0
34	16	1
34	20	1
34	22	4
34	25	4
34	38	2
34	41	0
34	50	3
35	10	3
35	11	0
35	13	2
35	16	1
35	18	1
35	36	0
35	48	2
36	4	3
36	18	4
36	24	1
36	26	2
36	32	0
36	47	1
37	5	1
37	12	1
37	46	1
38	7	0
38	10	2
38	12	3
38	43	0
38	48	4
38	50	0
39	4	4
39	29	4
39	38	1
40	21	4
40	28	0
40	30	4
40	33	0
41	28	0
42	2	2
42	4	4
42	6	4
42	8	4
42	20	4
42	24	1
42	25	2
42	27	0
42	43	3
42	48	2
43	2	0
43	15	3
43	23	0
44	1	0
44	36	2
44	42	1
45	3	0
45	12	2
45	16	2
45	50	3
46	17	3
46	21	1
46	24	4
47	2	2
47	13	3
47	29	2
47	32	0
47	33	0
47	46	2
48	5	3
48	22	1
48	31	4
49	3	0
49	4	4
49	19	1
49	34	0
49	50	1
50	15	4
50	20	3
50	31	3
